year,kr_per_m2
1996,4997
1997,5896
1998,6633
1999,7777
2000,8314
2001,9436
2002,9818
2003,10938
2004,12421
2005,15288
2006,18649
2007,20631
2008,19536
2009,20712
2010,22794
2011,23145
2012,24351
2013,27115
2014,29999
2015,34646
2016,37783
2017,39088
2018,36925
2019,38271
2020,40892
2021,44551
2022,44290
2023,42817
2024,44477
2025,44894
