period_label,period_end_year,period_end_month,kr_per_m2
apr -25,2025,4,45860
maj -25,2025,5,45593
jun -25,2025,6,44945
jul -25,2025,7,44774
aug -25,2025,8,45289
sep -25,2025,9,46120
okt -25,2025,10,46185
nov -25,2025,11,45916
dec -25,2025,12,45767
jan -26,2026,1,46297
feb -26,2026,2,47179
mar -26,2026,3,47544
