sold_date,address,street_number,rooms,living_area_m2,final_price_kr,asking_price_kr,kr_per_m2,monthly_fee_kr,price_change_pct,broker_agency,listing_id,hemnet_url
2025-08-22,Myggdalsvägen 8,8,2.0,49.5,1550000,1595000,31313,3844,-0.03,Fastighetsbyrån Tyresö,21553304,https://www.hemnet.se/salda/lagenhet-2rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-8-8245988715351840364
2025-08-15,Myggdalsvägen 116,116,4.0,88.5,1995000,1995000,22542,7442,0.0,Svensk Fastighetsförmedling Tyresö,21376536,https://www.hemnet.se/salda/lagenhet-4rum-tyreso-tyreso-kommun-myggdalsvagen-116-8925272441070219693
2025-06-30,Myggdalsvägen 104,104,2.0,74.0,2250000,2295000,30405,6091,-0.02,HusmanHagberg Tyresö/Älta,21484559,https://www.hemnet.se/salda/lagenhet-2rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-104-6604208432523137881
2025-06-24,Myggdalsvägen 98,98,4.0,90.0,1900000,2195000,21111,7603,-0.13,HusmanHagberg Tyresö/Älta,21476247,https://www.hemnet.se/salda/lagenhet-4rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-98-8640025934402638027
2025-05-20,Myggdalsvägen 6,6,2.0,74.0,1800000,1995000,24324,6121,-0.1,HusmanHagberg Tyresö/Älta,21499504,https://www.hemnet.se/salda/lagenhet-2rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-6-2672164678182120556
2025-05-19,Myggdalsvägen 60,60,3.0,90.0,2195000,2195000,24389,7781,0.0,Fastighetsbyrån Tyresö,21492137,https://www.hemnet.se/salda/lagenhet-3rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-60-4390010345771614449
2025-05-08,Myggdalsvägen 64,64,4.0,90.0,2695000,2595000,29944,7600,0.04,Bjurfors Haninge,21459423,https://www.hemnet.se/salda/lagenhet-4rum-bollmora-tyreso-kommun-myggdalsvagen-64-5622480703706505653
2025-04-22,Myggdalsvägen 92,92,4.0,92.0,1995000,1995000,21685,7968,0.0,Fastighetsbyrån Tyresö,21508181,https://www.hemnet.se/salda/lagenhet-4rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-92-78396828769529118
2025-04-09,Myggdalsvägen 84,84,4.0,94.0,1800000,2195000,19149,7005,-0.18,MOHV Haninge/Tyresö,21447795,https://www.hemnet.se/salda/lagenhet-4rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-84-739526322492386803
2025-04-08,Myggdalsvägen 46 ,46,2.0,45.0,1695000,1695000,37667,3900,0.0,Fastighetsbyrån Tyresö,21504938,https://www.hemnet.se/salda/lagenhet-2rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-46-2580392554807931502
