sold_date,address,street_number,rooms,living_area_m2,final_price_kr,asking_price_kr,kr_per_m2,monthly_fee_kr,price_change_pct,broker_agency,listing_id,booli_url,apartment_number
2014-09-04,Myggdalsvägen 10,10,3,87.0,1900000,,21839,,,HusmanHagberg,1721451,https://www.booli.se/annons/1721451,
2014-09-04,Myggdalsvägen 110,110,2,49.5,1450000,,29293,,,HusmanHagberg,1720622,https://www.booli.se/bostad/677954,Lgh 1302
2014-09-03,Myggdalsvägen,,2,74.0,1670000,,22568,,,HusmanHagberg,1716988,https://www.booli.se/annons/1716988,
2014-08-25,Myggdalsvägen 102,102,2,74.0,1440000,,19459,,,Länsförsäkringar Fastighetsförmedling,1707996,https://www.booli.se/annons/1707996,
2014-07-01,Myggdalsvägen 32,32,4,88.5,1770000,,20000,,,Fastighetsbyrån,1686016,https://www.booli.se/annons/1686016,
2014-06-19,Myggdalsvägen 106,106,2,49.5,1450000,,29293,,,Länsförsäkringar Fastighetsförmedling,1674607,https://www.booli.se/annons/1674607,
2014-05-17,Myggdalsvägen 48,48,4,92.0,2465000,,26793,,,SkandiaMäklarna,1644876,https://www.booli.se/annons/1644876,
2014-05-15,Myggdalsvägen 64,64,3,90.0,1910000,,21222,,,Fastighetsbyrån,1637824,https://www.booli.se/annons/1637824,
2014-05-10,Myggdalsvägen 98,98,3,92.0,2025000,,22011,,,Svensk Fastighetsförmedling,1637794,https://www.booli.se/annons/1637794,
2014-05-09,Myggdalsvägen 94,94,4,90.0,1950000,,21667,,,Svensk Fastighetsförmedling,1639947,https://www.booli.se/annons/1639947,
2014-05-04,Myggdalsvägen 100,100,2,74.0,1705000,,23041,,,SkandiaMäklarna,1618852,https://www.booli.se/bostad/677875,Lgh 1601
2014-04-29,Myggdalsvägen 68,68,4,88.5,1610000,,18192,,,Svensk Fastighetsförmedling,1628935,https://www.booli.se/annons/1628935,
2014-04-16,Myggdalsvägen 3,3,,137.0,3400000,,24818,,,,-7799849,https://www.booli.se/bostad/1778953,
2014-04-06,Myggdalsvägen 96,96,3,92.0,1935000,,21033,,,Svensk Fastighetsförmedling,1618021,https://www.booli.se/annons/1618021,
2014-03-27,Myggdalsvägen 110,110,2,74.0,1600000,,21622,,,HusmanHagberg,1612364,https://www.booli.se/annons/1612364,
2014-02-19,Myggdalsvägen 74,74,4,94.5,1830000,,19365,,,Eget Hem,1589077,https://www.booli.se/annons/1589077,
2013-12-11,Myggdalsvägen 20,20,1.5,45.0,1410000,,31333,,,HusmanHagberg,1557444,https://www.booli.se/annons/1557444,
2013-12-04,Myggdalsvägen 66,66,4,88.5,1450000,,16384,,,HusmanHagberg,1553503,https://www.booli.se/bostad/677656,Lgh 1201
2013-12-04,Myggdalsvägen 108,108,2,49.5,1400000,,28283,,,HusmanHagberg,1552880,https://www.booli.se/bostad/677942,Lgh 1402
2013-11-23,Myggdalsvägen 14,14,4,92.0,2000000,,21739,,,Bukowskis Mäklarbyrå,1544770,https://www.booli.se/bostad/677778,Lgh 1402
2013-11-21,Myggdalsvägen 108,108,2,67.0,1680000,,25075,,,HusmanHagberg,1544388,https://www.booli.se/annons/1544388,
2013-11-13,Myggdalsvägen 28,28,4,88.5,1800000,,20339,,,Fastighetsbyrån,1543794,https://www.booli.se/annons/1543794,
