Not 3 Övriga externa kostnader,Bevakningskostnader,,83823,
Not 3 Övriga externa kostnader,Hyror och arrenden,,4484,
Not 3 Övriga externa kostnader,Förbrukningsinventarier och varuinköp,,110077,
Not 3 Övriga externa kostnader,Administrationskostnader,,293102,
Not 3 Övriga externa kostnader,Extern revision,,29688,
Not 3 Övriga externa kostnader,Konsultkostnader,,194128,
Not 3 Övriga externa kostnader,Medlemsavgifter,,95838,
Not 3 Övriga externa kostnader,Summa,,811140,493682

Not 4 Personalkostnader och arvoden,Arvode styrelse,,739200,
Not 4 Personalkostnader och arvoden,Revisionsarvode,,10536,
Not 4 Personalkostnader och arvoden,Övriga arvoden,,27050,
Not 4 Personalkostnader och arvoden,Sociala avgifter,,182830,
Not 4 Personalkostnader och arvoden,Övriga personalkostnader,,43133,
Not 4 Personalkostnader och arvoden,Summa,,1002748,916656

Not 5 Ränteintäkter,Ränteintäkter avräkningskonto HSB Stockholm,,2977,
Not 5 Ränteintäkter,Ränteintäkter HSB placeringskonto,,5,
Not 5 Ränteintäkter,Övriga ränteintäkter,,4498,
Not 5 Ränteintäkter,Summa,,7481,-14467

Not 6 Räntekostnader,Räntekostnader långfristiga skulder,,2978248,3171654
Not 6 Räntekostnader,Övriga räntekostnader,,-591,336
Not 6 Räntekostnader,Summa,,2977657,3171990

Not 7 Byggnader och mark,Anskaffningsvärde byggnader,,254197813,235370442
Not 7 Byggnader och mark,Anskaffningsvärde mark,,1894525,1894525
Not 7 Byggnader och mark,Årets investeringar,,6043653,18827371
Not 7 Byggnader och mark,Utgående ackumulerade anskaffningsvärden,,262135991,256092338
Not 7 Byggnader och mark,Ingående avskrivningar,,-93913486,-90495136
Not 7 Byggnader och mark,Årets avskrivningar,,-4059124,-3418350
Not 7 Byggnader och mark,Utgående ackumulerade avskrivningar,,-97972610,-93913486
Not 7 Byggnader och mark,Utgående bokfört värde,,164163381,162178852
Not 7 Byggnader och mark,Taxeringsvärde byggnad bostäder,,344000000,344000000
Not 7 Byggnader och mark,Taxeringsvärde byggnad lokaler,,33000000,33000000
Not 7 Byggnader och mark,Taxeringsvärde mark bostäder,,137000000,137000000
Not 7 Byggnader och mark,Taxeringsvärde mark lokaler,,5200000,5200000
Not 7 Byggnader och mark,Summa taxeringsvärde,,519200000,519200000

Not 8 Inventarier och maskiner,Ingående anskaffningsvärde,,4408995,899474
Not 8 Inventarier och maskiner,Årets investeringar,,0,3509521
Not 8 Inventarier och maskiner,Utgående ackumulerade anskaffningsvärden,,4408995,4408995
Not 8 Inventarier och maskiner,Ingående avskrivningar,,-1074950,-899474
Not 8 Inventarier och maskiner,Årets avskrivningar,,-175476,-175476
Not 8 Inventarier och maskiner,Utgående ackumulerade avskrivningar,,-1250426,-1074950
Not 8 Inventarier och maskiner,Bokfört värde,,3158569,3334045

Not 9 Pågående nyanläggningar,Ingående anskaffningsvärde,,14673630,34278846
Not 9 Pågående nyanläggningar,Årets investeringar/omklassificering,,15357513,-19605216
Not 9 Pågående nyanläggningar,Utgående ackumulerade anskaffningsvärden,,30031143,14673630

Not 10 Andra långfristiga värdepappersinnehav,Ingående anskaffningsvärde,,500,500
Not 10 Andra långfristiga värdepappersinnehav,Utgående ackumulerade anskaffningsvärden,,500,500
Not 10 Andra långfristiga värdepappersinnehav,Andel i HSB Stockholm,,500,500

Not 11 Övriga kortfristiga fordringar,Skattekonto,,4504,4851
Not 11 Övriga kortfristiga fordringar,Övriga fordringar,,1000,0
Not 11 Övriga kortfristiga fordringar,Summa,,5504,4851

Not 12 Förutbetalda kostnader,Förutbetalda kostnader,,842419,804802
Not 12 Förutbetalda kostnader,Upplupna intäkter,,58514,43013
Not 12 Förutbetalda kostnader,Summa,,900933,847815

Not 13 Kassa och bank,Nordea plusgiro,,182181,191927
Not 13 Kassa och bank,Övriga bankkonton,,0,78370
Not 13 Kassa och bank,Summa,,182181,270297

Not 14 Skulder till kreditinstitut,Stadshypotek 0.45% 2019-01-28,,5700000,
Not 14 Skulder till kreditinstitut,Stadshypotek 0.409% 2019-03-18,,3000000,
Not 14 Skulder till kreditinstitut,Stadshypotek 0.409% 2019-03-18,,15000000,
Not 14 Skulder till kreditinstitut,Stadshypotek 0.409% 2019-03-18,,12000000,
Not 14 Skulder till kreditinstitut,Stadshypotek 2.709% 2024-12-01,,11545600,
Not 14 Skulder till kreditinstitut,Stadshypotek 2.708% 2024-12-01,,8988800,
Not 14 Skulder till kreditinstitut,Stadshypotek 2.709% 2024-12-01,,9145614,
Not 14 Skulder till kreditinstitut,Stadshypotek 2.639% 2024-12-30,,13487426,
Not 14 Skulder till kreditinstitut,Stadshypotek 2.738% 2025-10-30,,17917078,
