category,amount
# NOT 4 - Personalkostnader och arvoden (sida 14)
Arvode styrelse,699363
Revisionsarvode,17978
Övriga arvoden,22199
Sociala avgifter,178339
Övriga personalkostnader,32946
Summa Personalkostnader (not 4),950825
# NOT 5 - Ränteintäkter och liknande resultatposter (sida 14)
Ränteintäkter avräkningskonto HSB Stockholm,1864
Ränteintäkter HSB placeringskonto,5388
Ränteintäkter skattekonto,3175
Ränteintäkter HSB bunden placering,95222
Övriga ränteintäkter,1852
Summa Ränteintäkter (not 5),107501
# NOT 6 - Räntekostnader och liknande resultatposter (sida 14)
Räntekostnader långfristiga skulder,3875740
Övriga räntekostnader,0
Summa Räntekostnader (not 6),3875740
# NOT 7 - Byggnader och mark (sida 15)
Anskaffningsvärde byggnader,235370442
Anskaffningsvärde mark,1894525
Utgående ackumulerade anskaffningsvärden,237264967
Ingående avskrivningar,-82665062
Årets avskrivningar,-3915037
Utgående ackumulerade avskrivningar,-86580099
Utgående bokfört värde byggnader och mark,150684868
Taxeringsvärde byggnad bostäder,328000000
Taxeringsvärde byggnad lokaler,11800000
Taxeringsvärde mark bostäder,118000000
Taxeringsvärde mark lokaler,4532000
Summa taxeringsvärde,462332000
# NOT 8 - Pågående nyanläggningar (sida 15)
Ingående anskaffningsvärde,4989961
Årets investeringar,21966320
Utgående ackumulerade anskaffningsvärden,26956281
# NOT 9 - Aktier andelar och värdepapper (sida 15)
Andel i HSB Stockholm,500
Summa Aktier andelar (not 9),700
# NOT 10 - Övriga kortfristiga fordringar (sida 15)
Skattekonto,198863
Skattefordran,251292
Summa Övriga fordringar (not 10),450155
# NOT 11 - Förutbetalda kostnader och upplupna intäkter (sida 15)
Förutbetalda kostnader,148637
Upplupna intäkter,39805
Summa Förutbetalda kostnader (not 11),188442
# NOT 12 - Kortfristiga placeringar (sida 15)
Bunden placering 6 månader HSB Stockholm,4000000
Bunden placering 12 månader HSB Stockholm,4000000
Lux korträntefond Sverige,1000000
Medlemskonto Fonus,474
Summa Kortfristiga placeringar (not 12),9000474
# NOT 13 - Kassa och bank (sida 15)
Handelsbanken,3291236
Nordea,33443
Nordea plusgiro,127049
Swedbank,100000
Övriga bankkonton,161960
Summa Kassa och bank (not 13),3713688
# NOT 14 - Förändring av eget kapital (sida 16)
Belopp vid årets ingång insatser,6199100
Belopp vid årets ingång upplåtelseavgifter,7968900
Belopp vid årets ingång yttre underhållsfond,9673876
Resultatdisposition till fond,-4002186
Försäljning lägenheter insatser,8900
Försäljning lägenheter upplåtelseavgifter,1966100
Balanserat resultat,31384706
Årets resultat,4780081
Belopp vid årets slut yttre underhållsfond,5671690
# NOT 15 - Skulder till kreditinstitut (sida 16)
Summa skulder till kreditinstitut,125423544
Långfristiga exkl kortfristig del,122266220
Nästa års amortering,3157324
# NOT 16 - Övriga skulder till kreditinstitut (sida 16)
Kortfristig del av långfristig skuld,3157324
# NOT 17 - Upplupna kostnader och förutbetalda intäkter (sida 16)
Förutbetalda hyror och avgifter,2925456
Övriga upplupna kostnader,1477418
Summa Upplupna kostnader (not 17),4402874
# Ställda säkerheter (sida 11)
Fastighetsinteckningar,161130000
