category,amount
# RESULTATRÄKNING (sida 9) - Räkenskapsår 2015
Nettoomsättning,35595083
Driftskostnader,-20452772
Övriga externa kostnader,-668889
Planerat underhåll,-1059240
Personalkostnader och arvoden,-950825
Avskrivningar av materiella anläggningstillgångar,-3915037
Summa rörelsekostnader,-27046763
Rörelseresultat,8548320
Ränteintäkter och liknande resultatposter,107501
Räntekostnader och liknande resultatposter,-3875740
Summa finansiella poster,-3768239
Årets resultat,4780081
# BALANSRÄKNING - TILLGÅNGAR (sida 10)
Byggnader och mark,150684868
Pågående nyanläggningar,26956281
Summa materiella anläggningstillgångar,177641149
Andra långfristiga värdepappersinnehav,700
Summa anläggningstillgångar,177641849
Avgifts- hyres och andra kundfordringar,18286
Avräkningskonto HSB Stockholm,3021189
Placeringskonto HSB Stockholm,5388
Övriga fordringar,450155
Förutbetalda kostnader och upplupna intäkter,188442
Summa kortfristiga fordringar,3683460
Kortfristiga placeringar,9000474
Kassa och bank,3713688
Summa omsättningstillgångar,16397622
Summa tillgångar,194039471
# BALANSRÄKNING - EGET KAPITAL OCH SKULDER (sida 11)
Insatser,6208000
Upplåtelseavgifter,9935000
Yttre underhållsfond,5671690
Summa bundet eget kapital,21814690
Balanserat resultat,31384706
Årets resultat (fritt eget kapital),4780081
Summa fritt eget kapital,36164787
Summa eget kapital,57979476
Skulder till kreditinstitut (långfristiga),122266220
Skulder till kreditinstitut (kortfristiga),3157324
Leverantörsskulder,5530515
Fond för inre underhåll,703062
Upplupna kostnader och förutbetalda intäkter,4402874
Summa kortfristiga skulder,13793775
Summa skulder,136059995
Summa eget kapital och skulder,194039471
# KASSAFLÖDESANALYS (sida 12)
Resultat efter finansiella poster (kassaflöde),4780081
Avskrivningar,3915037
Kassaflöde från löpande verksamhet före förändringar av rörelsekapital,8695118
Ökning/minskning av kortfristiga fordringar,472665
Ökning/minskning av kortfristiga skulder,2918594
Kassaflöde från den löpande verksamheten,12086377
Investeringar i fastigheter,-21966320
Kassaflöde från investeringsverksamheten,-21966320
Ökning/minskning av långfristiga skulder,-2972838
Inbetalda insatser och upplåtelseavgifter,1975000
Kassaflöde från finansieringsverksamheten,-997838
Årets kassaflöde,-10877781
Likvida medel vid årets början,26618521
Likvida medel vid årets slut,15740739
# NOT 1 - Nettoomsättning (sida 14)
Årsavgifter,32962200
Hyror,2553140
Övriga intäkter,673047
Bruttoomsättning,36188387
Avgifts- och hyresbortfall,-587039
Hyresförluster,-6265
Summa Nettoomsättning (not 1),35595083
# NOT 2 - Driftskostnader (sida 14)
Fastighetsskötsel och lokalvård,3595115
Reparationer,1906358
El,1458576
Uppvärmning,6898867
Vatten,2176995
Sophämtning,1540184
Fastighetsförsäkring,479812
Kabel-TV och bredband,534076
Fastighetsskatt,921550
Förvaltningsarvoden,730690
Övriga driftskostnader,210549
Summa Driftskostnader (not 2),20452772
# NOT 3 - Övriga externa kostnader (sida 14)
Bevakningskostnader,137027
Hyror och arrenden,356
Förbrukningsinventarier och varuinköp,118047
Administrationskostnader,259936
Extern revision,27450
Konsultkostnader,50682
Medlemsavgifter,75391
Summa Övriga externa kostnader (not 3),668889
