category,amount
# RESULTATRÄKNING (Resultaträkning, sida 10) - Räkenskapsår 2023
Nettoomsättning,46186034
Övriga rörelseintäkter,572687
Summa Rörelseintäkter,46758721
Driftskostnader,-32236131
Övriga externa kostnader,-678147
Personalkostnader,-772279
Av- och nedskrivningar av materiella och immateriella anläggningstillgångar,-9351715
Summa Rörelsekostnader,-43038272
Rörelseresultat,3720449
Övriga ränteintäkter och liknande resultatposter,10110
Räntekostnader och liknande resultatposter,-4597090
Summa Finansiella poster,-4586980
Resultat efter finansiella poster,-866531
Årets resultat,-866531
# BALANSRÄKNING - TILLGÅNGAR (sida 11)
Byggnader och mark,297157855
Maskiner och andra tekniska anläggningar,2281189
Pågående nyanläggningar materiella anläggningstillgångar,3300324
Summa Materiella anläggningstillgångar,302739368
Andra långfristiga värdepappersinnehav,500
Summa Finansiella anläggningstillgångar,500
Summa Anläggningstillgångar,302739868
Kundfordringar,227687
Aktuell skattefordran,44674
Övriga kortfristiga fordringar,14546689
Förutbetalda kostnader och upplupna intäkter,1958515
Summa Kortfristiga fordringar,16777565
Summa Omsättningstillgångar,16777565
Summa Tillgångar,319517432
# BALANSRÄKNING - EGET KAPITAL OCH SKULDER (sida 12)
Medlemsinsatser,16143000
Fond för yttre underhåll,9599524
Summa Bundet eget kapital,25742524
Balanserat resultat,58185389
Årets resultat (fritt eget kapital),-866531
Summa Fritt eget kapital,57318858
Summa Eget kapital,83061382
Övriga långfristiga skulder till kreditinstitut,94810505
Summa Långfristiga skulder,94810505
Övriga kortfristiga skulder till kreditinstitut,132932440
Leverantörsskulder,2750556
Övriga kortfristiga skulder,718427
Upplupna kostnader och förutbetalda intäkter,5244122
Summa Kortfristiga skulder,141645545
Summa Skulder,236456050
Summa Eget kapital och skulder,319517432
# KASSAFLÖDESANALYS (sida 13)
Rörelseresultat (kassaflöde),3720449
Avskrivningar,9351715
Summa Justeringar för poster som inte ingår i kassaflödet,9351715
Erhållen ränta,10110
Erlagd ränta,-4307781
Kassaflöde från den löpande verksamheten före förändringar av rörelsekapital,8774493
Ökning/minskning av rörelsefordringar,-58741
Ökning/minskning av rörelseskulder,-1187740
Summa Kassaflöde från förändringar i rörelsekapital,-1246481
Kassaflöde från den löpande verksamheten,7528012
Förvärv/avyttring av materiella anläggningstillgångar,-12021818
Summa Kassaflöde från investeringsverksamheten,-12021818
Ökning/minskning av skuld till kreditinstitut,7135669
Summa Kassaflöde från finansieringsverksamheten,7135669
Årets kassaflöde,2641862
Likvida medel vid årets början,11898490
Likvida medel vid årets slut,14540353
# NOT 2 - Nettoomsättning (sida 15)
Årsavgifter bostäder andelstalsfördelad,42003711
Hyror bostäder,417600
Hyror lokaler,489772
Hyror garage och parkeringsplatser,2648839
Hyror förbrukningsbaserad,291926
Hyror övrigt,577697
Övriga primära intäkter,280605
Summa Bruttoomsättning,46710150
Avgifts- och hyresbortfall,-524116
Hyresförluster,0
Summa Nettoomsättning (not 2),46186034
# NOT 3 - Övriga rörelseintäkter (sida 15)
Ersättning elstöd,515160
Övriga intäkter (not 3),57527
Summa Övriga rörelseintäkter (not 3),572687
# NOT 4 - Driftskostnader (sida 15)
