Not 2 Drift och underhåll,Övriga driftkostnader,,141503,140193
Not 2 Drift och underhåll,Summa,,21900501,19751494

Not 3 Övriga externa kostnader,Bevakningskostnader,,82072,125958
Not 3 Övriga externa kostnader,Förbrukningsinventarier och varuinköp,,55917,56011
Not 3 Övriga externa kostnader,Administrationskostnader,,209687,433732
Not 3 Övriga externa kostnader,Extern revision,,28963,31200
Not 3 Övriga externa kostnader,Konsultkostnader,,22063,6400
Not 3 Övriga externa kostnader,Medlemsavgifter,,94980,85591
Not 3 Övriga externa kostnader,Summa,,493682,738892

Not 4 Personalkostnader och arvoden,Arvode styrelse,,675573,794100
Not 4 Personalkostnader och arvoden,Revisionsarvode,,8540,11835
Not 4 Personalkostnader och arvoden,Övriga arvoden,,22149,16164
Not 4 Personalkostnader och arvoden,Sociala avgifter,,165945,199093
Not 4 Personalkostnader och arvoden,Övriga personalkostnader,,44449,50396
Not 4 Personalkostnader och arvoden,Summa,,916656,1071588

Not 5 Ränteintäkter,Ränteintäkter avräkningskonto HSB Stockholm,,2471,1547
Not 5 Ränteintäkter,Ränteintäkter HSB placeringskonto,,5,2604
Not 5 Ränteintäkter,Ränteintäkter skattekonto,,6,0
Not 5 Ränteintäkter,Ränteintäkter HSB bunden placering,,-27155,33125
Not 5 Ränteintäkter,Övriga ränteintäkter,,10206,57318
Not 5 Ränteintäkter,Summa,,-14467,94599

Not 6 Räntekostnader,Räntekostnader långfristiga skulder,,3171654,3517818
Not 6 Räntekostnader,Övriga räntekostnader,,336,30207
Not 6 Räntekostnader,Summa,,3171990,3548025

Not 7 Byggnader och mark,Anskaffningsvärde byggnader,,235370442,235370442
Not 7 Byggnader och mark,Anskaffningsvärde mark,,1894525,1894525
Not 7 Byggnader och mark,Årets investeringar,,18827371,0
Not 7 Byggnader och mark,Utgående ackumulerade anskaffningsvärden,,256092338,237264967
Not 7 Byggnader och mark,Ingående avskrivningar,,-90495136,-86580099
Not 7 Byggnader och mark,Årets avskrivningar,,-3418350,-3915037
Not 7 Byggnader och mark,Utgående ackumulerade avskrivningar,,-93913486,-90495136
Not 7 Byggnader och mark,Utgående bokfört värde,,162178852,146769831
Not 7 Byggnader och mark,Taxeringsvärde byggnad bostäder,,344000000,344000000
Not 7 Byggnader och mark,Taxeringsvärde byggnad lokaler,,33000000,33000000
Not 7 Byggnader och mark,Taxeringsvärde mark bostäder,,137000000,137000000
Not 7 Byggnader och mark,Taxeringsvärde mark lokaler,,5200000,5200000
Not 7 Byggnader och mark,Summa taxeringsvärde,,519200000,519200000

Not 8 Inventarier och maskiner,Ingående anskaffningsvärde,,899474,899474
Not 8 Inventarier och maskiner,Årets investeringar (installation av postboxar),,3509521,0
Not 8 Inventarier och maskiner,Utgående ackumulerade anskaffningsvärden,,4408995,899474
Not 8 Inventarier och maskiner,Ingående avskrivningar,,-899474,-899474
Not 8 Inventarier och maskiner,Årets avskrivningar,,-175476,0
Not 8 Inventarier och maskiner,Utgående ackumulerade avskrivningar,,-1074950,-899474
Not 8 Inventarier och maskiner,Bokfört värde,,3334045,0

Not 9 Pågående nyanläggningar,Ingående anskaffningsvärde,,34278846,26956281
Not 9 Pågående nyanläggningar,Årets investeringar,,-19605216,7322565
Not 9 Pågående nyanläggningar,Utgående ackumulerade anskaffningsvärden,,14673630,34278846

Not 10 Aktier andelar och värdepapper,Andel i HSB Stockholm,,500,700
Not 10 Aktier andelar och värdepapper,Fonus (utträde 2016),,0,-200
Not 10 Aktier andelar och värdepapper,Summa,,500,500

Not 11 Övriga kortfristiga fordringar,Skattekonto,,4851,4845
Not 11 Övriga kortfristiga fordringar,Skattefordran,,0,14826
Not 11 Övriga kortfristiga fordringar,Summa,,4851,19671

Not 12 Förutbetalda kostnader,Förutbetalda kostnader,,804802,741083
Not 12 Förutbetalda kostnader,Upplupna intäkter,,43013,64338
Not 12 Förutbetalda kostnader,Summa,,847815,805421

Not 13 Kortfristiga placeringar,Bunden placering 12 månader HSB Stockholm,,0,4000000

Not 14 Kassa och bank,Handelsbanken,,0,291236
Not 14 Kassa och bank,Nordea,,0,33443
Not 14 Kassa och bank,Nordea plusgiro,,191927,237354
Not 14 Kassa och bank,Swedbank,,0,100000
Not 14 Kassa och bank,PayPal-konto,,78370,16470
Not 14 Kassa och bank,Summa,,270297,678504

Not 15 Förändring av eget kapital,Belopp vid årets ingång insatser,,6208000,
Not 15 Förändring av eget kapital,Belopp vid årets ingång upplåtelseavgifter,,9935000,
Not 15 Förändring av eget kapital,Belopp vid årets ingång yttre uh fond,,8612450,
Not 15 Förändring av eget kapital,Resultatdisposition till fond,,1974192,
Not 15 Förändring av eget kapital,Ianspråktagande av fond (Planerat underhåll),,-2174509,
Not 15 Förändring av eget kapital,Belopp vid årets slut yttre uh fond,,10586642,
Not 15 Förändring av eget kapital,Balanserat resultat,,35398536,
Not 15 Förändring av eget kapital,Årets resultat,,1786741,

Not 16 Skulder till kreditinstitut,Stadshypotek 3.139% 2018-04-30,,15500000,
Not 16 Skulder till kreditinstitut,Stadshypotek 2.709% 2024-12-01,,11985600,
Not 16 Skulder till kreditinstitut,Stadshypotek 2.709% 2024-12-01,,9328800,
