category,amount
# RESULTATRÄKNING (sida 7) - Räkenskapsår 2013 (K2-format)
Nettoomsättning,36083819
Drift,-19522197
Planerat underhåll,-6584054
Fastighetsskatt och kommunal fastighetsavgift,-901420
Avskrivningar,-4799751
Summa fastighetskostnader,-31807422
Ränteintäkter och liknande resultatposter,324428
Räntekostnader och liknande resultatposter,-4412419
Summa finansiella poster,-4087991
Årets resultat,188405
# BALANSRÄKNING - TILLGÅNGAR (sida 8)
Byggnader och ombyggnader,156620417
Mark och markanläggningar,1894525
Inventarier,13476
Pågående nyanläggningar och förskott,0
Summa materiella anläggningstillgångar,158528418
Långfristigt värdepappersinnehav,700
Summa anläggningstillgångar,158529118
Avgifts- hyres och andra kundfordringar,7116
Avräkningskonto HSB Stockholm,8058963
Placeringskonto HSB Stockholm,7008507
Övriga fordringar,463846
Förutbetalda kostnader och upplupna intäkter,141265
Summa kortfristiga fordringar,15679697
Kortfristiga placeringar,1000431
Kassa och bank,16980951
Summa omsättningstillgångar,33661079
Summa tillgångar,192190197
# BALANSRÄKNING - EGET KAPITAL OCH SKULDER (sida 9)
Insatser,6190500
Upplåtelseavgifter,6018900
Underhållsfond,14257930
Summa bundet eget kapital,26467330
Balanserat resultat,23056232
Årets resultat (fritt eget kapital),188405
Summa fritt eget kapital,23244637
Summa eget kapital,49711967
Skulder till kreditinstitut,135486832
Leverantörsskulder,2358370
Skatteskulder,0
Fond för inre underhåll,766413
Övriga skulder,0
Upplupna kostnader och förutbetalda intäkter,3866615
Summa skulder,142478230
Summa eget kapital och skulder,192190197
# KASSAFLÖDESANALYS (sida 10)
Resultat efter finansiella poster (kassaflöde),188405
Avskrivningar,4799751
Kassaflöde från löpande verksamhet före förändringar av rörelsekapital,4988156
Ökning/minskning av kortfristiga fordringar,155795
Ökning/minskning av kortfristiga skulder,-946007
Kassaflöde från den löpande verksamheten,4197944
Investeringar i fastigheter,2539078
Investeringar/försäljningar av finansiella anläggningstillgångar,630000
Kassaflöde från investeringsverksamheten,3169078
Ökning/minskning av långfristiga skulder,-2006949
Inbetalda insatser och upplåtelseavgifter,1690000
Kassaflöde från finansieringsverksamheten,-316949
Årets kassaflöde,7050073
Likvida medel vid årets början,25998779
Likvida medel vid årets slut,33048852
# NOT 1 - Nettoomsättning (sida 12)
Årsavgifter,32852072
Hyror,2945003
Övriga intäkter,732537
Bruttoomsättning,36529612
Avgifts- och hyresbortfall,-445793
Hyresförluster,0
Summa Nettoomsättning (not 1),36083819
# NOT 2 - Drift (sida 12)
Personalkostnader,901083
Fastighetsskötsel och lokalvård,3445035
