category,amount
Reparationer,1906933
El,1683036
Uppvärmning,5385481
Vatten,2349454
Sophämtning,1252708
Fastighetsförsäkring,397660
Kabel-TV,468403
Övriga avgifter,135016
Förvaltningsarvoden,839425
Övriga driftskostnader,757964
Summa Drift (not 2),19522197
# NOT 3 - Avskrivningar (sida 12)
Byggnader,1666931
Om- och tillbyggnad,3049186
Inventarier,83634
Summa Avskrivningar (not 3),4799751
# NOT 4 - Ränteintäkter och liknande resultatposter (sida 12)
Ränteintäkter avräkningskonto HSB Stockholm,21056
Ränteintäkter HSB placeringskonto,8507
Ränteintäkter skattekonto,1326
Övriga ränteintäkter,293539
Summa Ränteintäkter (not 4),324428
# NOT 5 - Räntekostnader och liknande resultatposter (sida 12)
Räntekostnader långfristiga skulder,4412419
Summa Räntekostnader (not 5),4412419
# NOT 6 - Byggnader och ombyggnader (sida 13)
Ingående anskaffningsvärde byggnader,235370442
Årets investeringar,0
Utgående ackumulerade anskaffningsvärden,235370442
Ingående avskrivningar,-74033908
Årets avskrivningar,-4716117
Utgående ackumulerade avskrivningar,-78750025
Utgående bokfört värde byggnader,156620417
Taxeringsvärde byggnad,339800000
Taxeringsvärde mark,122532000
Summa taxeringsvärde,462332000
# NOT 7 - Mark och markanläggningar (sida 13)
Ingående anskaffningsvärde mark,1894525
Utgående bokfört värde mark,1894525
# NOT 8 - Inventarier (sida 13)
Ingående anskaffningsvärde,899474
Utgående ackumulerade anskaffningsvärden,899474
Ingående avskrivningar,-802364
Årets avskrivningar,-83634
Utgående ackumulerade avskrivningar,-885998
Bokfört värde,13476
# NOT 9 - Pågående nyanläggningar (sida 13)
Ingående anskaffningsvärde,2539078
Årets investeringar,-2539078
Utgående ackumulerade anskaffningsvärden,0
# NOT 10 - Aktier andelar och värdepapper (sida 13)
Ingående anskaffningsvärde,630700
Årets försäljning,-630000
Utgående ackumulerade anskaffningsvärden,700
Andel i HSB Stockholm,500
# NOT 11 - Övriga kortfristiga fordringar (sida 13)
Skattekonto,192424
Övriga fordringar,271422
Summa Övriga fordringar (not 11),463846
# NOT 12 - Förutbetalda kostnader och upplupna intäkter (sida 14)
Kabeltv,119642
Summa Förutbetalda kostnader (not 12),141265
# NOT 13 - Kortfristiga placeringar (sida 14)
Lux korträntefond Sverige,1000000
Medlemskonto Fonus,431
Summa Kortfristiga placeringar (not 13),1000431
# NOT 14 - Kassa och bank (sida 14)
Plusgiro,213753
Bankkonton,16767198
Summa Kassa och bank (not 14),16980951
# NOT 15 - Förändring av eget kapital (sida 14)
Belopp vid årets ingång insatser,6181600
Belopp vid årets ingång upplåtelseavgifter,4337800
Belopp vid årets ingång underhållsfond,9484750
Resultatdisposition till fond,4773180
Försäljning lägenheter insatser,8900
Försäljning lägenheter upplåtelseavgifter,1681100
Balanserat resultat,23056232
Årets resultat,188405
Belopp vid årets slut underhållsfond,14257930
# NOT 16 - Skulder till kreditinstitut (sida 14)
Summa skulder till kreditinstitut,135486832
Långfristiga exkl kortfristig del,128396379
Nästa års amortering,7090453
# NOT 18 - Upplupna kostnader och förutbetalda intäkter (sida 15)
Upplupna räntekostnader,157471
Förutbetalda hyror och avgifter,2596933
El,156683
Upplupen lokalvård,14821
Upplupen förvaltningsarvoden,75049
Fjärrvärme,581037
Upplupen renhållningskostnader,9049
Löpande underhåll,275572
Summa Upplupna kostnader (not 18),3866615
# Ställda säkerheter (sida 9)
Fastighetsinteckningar,161130000
