id,name,parent
0,Övriga skulder till kreditinstitut,
1,Skulder till kreditinstitut,
2,Kassa och bank,
3,Avräkningskonto HSB Stockholm,
4,Placeringskonto HSB Stockholm,
5,Kortfristiga placeringar,
